Date,Day of the week,App (Use all CAPITALS),Minutes,Category
08/30,Wednesday,TIKTOK,180,Entertainment
08/30,Wednesday,MESSENGER,60,Social Media
08/30,Wednesday,YOUTUBE,30,Entertainment
08/30,Wednesday,INSTAGRAM,45,Social Media
08/30,Wednesday,SAFARI,40,Other
08/31,Thursday,DISCORD,60,Other
08/31,Thursday,ZOOM,120,Education
08/31,Thursday,CAMERA,15,Other
09/01,Friday,GOOGLE MAPS,26,Travel
09/01,Friday,CANVAS STUDENT,240,Education
09/02,Saturday,GOOGLE MAPS,10,Travel
09/02,Saturday,MESSENGER,37,Social Media
09/03,Sunday,TIKTOK,35,Entertainment
09/03,Sunday,DISCORD,18,Other
09/04,Monday,BEREAL,5,Social Media
09/04,Monday,YOUTUBE,40,Entertainment
09/04,Monday,PINTEREST,14,Entertainment
09/05,Tuesday,CANVAS STUDENT,60,Education
09/05,Tuesday,FACETIME,150,Social Media